Brand,Info,Price,IntPrice
DELL,"Inspiron 15 7000 15.6"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver",£899.00,899.0
HP,"Pavilion 15-bc403sa 15.6"" Intel® Core™ i7 Laptop - 1 TB HDD, Black",£749.00,749.0
LENOVO,"Ideapad IP320s-14IKB 14"" Intel® Core™ i7 Laptop - 256 GB SSD, Grey",£639.00,639.0
HP,"Pavilion 14-ce0597sa 14"" Intel® Core™ i3 Laptop - 128 GB SSD, White & Rose Gold",£479.00,479.0
ACER,"Aspire 1 A114-31 14"" Intel® Celeron® Laptop - 32 GB eMMC, Blue",£199.00,199.0
ACER,"Aspire 3 15.6"" AMD Ryzen 5 Laptop - 1 TB HDD, Black",£429.00,429.0
ASUS,"VivoBook F510 15.6"" Intel® Core™ i3 Laptop - 256 GB SSD, Grey",£399.97,399.97
APPLE,"MacBook Pro 15"" with Touch Bar - 256 GB SSD, Space Grey (2018)","£2,056.00",2056.0
DELL,"Inspiron 13 5000 13.3"" Intel® Pentium® 2 in 1 - 1 TB HDD, Grey",£429.97,429.97
DELL,"G3 15 15.6"" Intel® Core™ i7 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD",£899.00,899.0
DELL,"XPS 13 13.3"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver","£1,549.00",1549.0
HP,"Pavilion Power 15-cx0599sa 15.6"" Intel® Core™ i5+ Laptop - 1 TB HDD, Black",£679.00,679.0
LENOVO,"YOGA 530-14ARR 14"" AMD Ryzen 3 2 in 1 - 128 GB SSD",£499.00,499.0
DELL,"XPS 15 15.6"" Intel® Core™ i5 2 in 1 - 256 GB SSD, Silver","£1,749.00",1749.0
MICROSOFT,"Surface Book 2 13.5"" – 256 GB, Silver","£1,344.00",1344.0
APPLE,"MacBook Pro 15"" with Touch Bar - 512 GB SSD, Space Grey (2018)","£2,350.00",2350.0
ACER,"Predator Helios 300 15.6"" Intel® Core™ i5 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD",£899.00,899.0
MICROSOFT,"12.3"" Intel® Core™ i5 Surface Pro 6 - 256 GB SSD, Platinum","£1,059.00",1059.0
ACER,"Nitro 5 15.6"" AMD Ryzen 5 RX 560X Gaming Laptop - 1 TB HDD & 128 GB SSD",£699.00,699.0
